date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:42:57	3161/3161	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:56%20GMT	http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=1813a18e0baf2d02503ebc3e54f3ade4b3354f8a&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad	praytimes.org/code/git/index16d0.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=1813a18e0baf2d02503ebc3e54f3ade4b3354f8a&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/js)
15:42:58	19174/19174	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:57%20GMT	http://praytimes.org/code/git/?a=viewblob&p=PrayTimes&h=9a3db57c67846412d0b4f882cc72b6540d0b6407&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/js/PrayTime.js	praytimes.org/code/git/index0d66.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=1813a18e0baf2d02503ebc3e54f3ade4b3354f8a&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/js)
15:42:58	3852/3852	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:57%20GMT	http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=99ecab23923afdd6db79dd913c4849112598f9f3&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/js/examples	praytimes.org/code/git/index315a.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=1813a18e0baf2d02503ebc3e54f3ade4b3354f8a&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/js)
15:42:59	2973/2973	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:58%20GMT	http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=95c883d723c4b0fef7d0e6d579d669c9b5211b10&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad	praytimes.org/code/git/indexb937.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=95c883d723c4b0fef7d0e6d579d669c9b5211b10&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/objc)
15:42:59	8859/8859	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:58%20GMT	http://praytimes.org/code/git/?a=viewblob&p=PrayTimes&h=7d5d875e02bc92016fb07e5c912bdf5459829bd2&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/objc/PrayTime.h	praytimes.org/code/git/index5eeb.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=95c883d723c4b0fef7d0e6d579d669c9b5211b10&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/objc)
15:43:00	2979/2979	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:59%20GMT	http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=0069ce4c703e104233a1ec565256ad54b58f993d&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad	praytimes.org/code/git/indexe4d2.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=0069ce4c703e104233a1ec565256ad54b58f993d&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/php)
15:43:00	31518/31518	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:42:59%20GMT	http://praytimes.org/code/git/?a=viewblob&p=PrayTimes&h=0474428e95c6854a705d7beae291e9ed6959681f&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/objc/PrayTime.m	praytimes.org/code/git/index609c.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=95c883d723c4b0fef7d0e6d579d669c9b5211b10&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/objc)
15:43:02	5603/5603	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:43:00%20GMT	http://praytimes.org/code/git/?a=viewblob&p=PrayTimes&h=2174353c3eae9765ed7baafee8de7139110394d6&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/php/sample.php	praytimes.org/code/git/indexffd2.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=0069ce4c703e104233a1ec565256ad54b58f993d&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/php)
15:43:02	20964/20964	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:43:00%20GMT	http://praytimes.org/code/git/?a=viewblob&p=PrayTimes&h=91c59f0ead99c9a60c57ceadd2c0f640c349c710&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/php/PrayTime.php	praytimes.org/code/git/indexf1c0.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=0069ce4c703e104233a1ec565256ad54b58f993d&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=v1/php)
15:43:02	21/21	---MCZ	200	added ('OK')	text/html	date:Mon,%2021%20Apr%202025%2012:43:01%20GMT	http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=4873d52e2f3f898ffe2972836cb9af83a924c70e&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad&f=js	praytimes.org/code/git/index0176.html	(from http://praytimes.org/code/git/?a=tree&p=PrayTimes&h=1615a6ad58aca5ddaac26513e762777dd7d40ca9&hb=971b0fa43c25bf661b4775dcbafc4a893a96d8ad)
